Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Lag-1 AC
1,0.950693254400997,0.950693254400997,-0.15420366619930412,0.9837721348081218,0.8842105263157894,0.9440203562340966
2,0.8932076647452873,0.8932076647452873,-0.24980526561769748,0.9649737757698499,0.8315789473684211,0.787012514929636
3,0.910967440411279,0.910967440411279,-0.2387703172872202,0.9630264319468245,0.7052631578947369,0.8480552526354053
4,0.8639715428155995,0.8639715428155995,0.27610738952069375,0.9475775042841563,0.7789473684210527,0.752479617801319
5,0.8739679077737965,0.8739679077737965,0.7546087137144933,0.9691021446746636,0.9368421052631579,0.7481435322220491
6,0.9279223139637532,0.9279223139637532,0.2648647245157605,0.976190476190476,0.8105263157894737,0.841616035727268
7,0.9422547645012203,0.9422547645012203,0.052370566547229574,0.9866022744975853,0.25263157894736843,0.5955756348340863
8,0.901879835903827,0.901879835903827,0.5637690190580048,0.9734122656696266,0.9368421052631579,0.8030586280313652
9,0.9245469180038428,0.9245469180038428,0.31829983901957726,0.9819026847380172,0.9473684210526316,0.8992574128888196
10,0.831385989510308,0.831385989510308,0.4051513735265098,0.9642727319935608,0.768421052631579,0.7803136521784286
11,0.9081632653061223,0.9081632653061223,0.10850599781897491,0.9718024614425922,0.7999999999999999,0.8374097730695331
12,0.9500960689619359,0.9500960689619359,-0.0931349639092278,0.985044399439165,0.9368421052631579,0.8926883730591473
13,0.9164719322843641,0.9164719322843641,0.23835488393830814,0.9809160305343511,0.2947368421052632,0.8626213844316352
14,0.8188191307057173,0.8188191307057173,0.2630731681985771,0.9550553045645739,0.8315789473684211,0.7852209586124526
15,0.940982499870177,0.940982499870177,-0.7387703172872202,0.9840058160668848,0.968421052631579,0.8978812899205483
16,0.9369839538868983,0.9369839538868983,0.22506101677312146,0.9837721348081218,0.9052631578947369,0.9082671236433504
17,0.8444721400010385,0.8444721400010385,0.3573765384016202,0.9628706444409824,0.8105263157894737,0.7824427480916031
18,0.9228332554395804,0.9228332554395804,0.5831905281196448,0.975359609492652,0.9263157894736842,0.9190164615464506
19,0.9156929947551539,0.9156929947551539,0.22308770836578903,0.9791764033857817,0.9578947368421054,0.8931557355766734
20,0.9535753232590747,0.9535753232590747,-0.49054889131225005,0.9841616035727269,0.9263157894736842,0.9576257984109673
21,0.896505166952277,0.896505166952277,0.47450277821052084,0.9687646050786726,0.9263157894736842,0.8839383081476865
22,0.9392948018902217,0.9392948018902217,0.6256166588772913,0.9844212494157968,0.9578947368421054,0.9389832268785375
23,0.8784078516902943,0.8784078516902943,0.02689930934205743,0.9418652957366151,0.9263157894736842,0.7288518460819442
24,0.8605701822713818,0.8605701822713818,0.5618995689879004,0.9642467674092536,0.8315789473684211,0.881367814301293
25,0.9613646985511761,0.9613646985511761,-0.4274289868619203,0.9860050890585242,0.9789473684210527,0.9496806356130236
26,0.9379186789219504,0.9379186789219504,-0.46759619878485736,0.9842654619099548,0.968421052631579,0.8553513008256737
27,0.8694760346886845,0.8694760346886845,-0.43555590175001296,0.9674663758633224,0.9368421052631579,0.866100638728774
28,0.8761489328555849,0.8761489328555849,0.7249571584358934,0.950615360648076,0.7157894736842105,0.8350469958975956
29,0.9235862283844836,0.9235862283844836,0.658332035104118,0.9794360492288517,0.9578947368421054,0.8629589240276263
30,0.92561146596043,0.92561146596043,0.4673365529417874,0.9775146699901334,0.8842105263157894,0.85659760087241
31,0.9338422391857505,0.9338422391857505,-0.4541984732824427,0.9763722282806251,0.8842105263157894,0.6759879524328815
32,0.6811808692942826,0.6811808692942826,0.2905436983953887,0.9494469543542607,0.6526315789473685,0.6426494261826868
33,0.8267642935036609,0.8267642935036609,0.27460144363088745,0.9517837669418912,0.6842105263157895,0.5341434283637119
34,0.8752401724048398,0.8752401724048398,0.7149088643090824,0.9719582489484343,0.7789473684210527,0.8956223710858389
35,0.9676740925377785,0.9676740925377785,0.25489432414187047,0.9870956015994183,0.9789473684210527,0.9379446435062575
36,0.866905540842291,0.866905540842291,0.0027003167679285453,0.9644544840837098,0.6842105263157895,0.8314119540946149
37,0.8489640130861504,0.8489640130861504,-0.03676585137871942,0.9530819961572413,0.8421052631578948,0.8968427065482681
38,0.9263644389053329,0.9263644389053329,0.3900919146284468,0.9770473074726073,0.9263157894736842,0.92561146596043
39,0.9007633587786258,0.9007633587786258,0.5979124474217167,0.9833567014592095,0.6842105263157895,0.8751622786519186
40,0.8104066053902477,0.8104066053902477,0.7023679700887988,0.9467206730020251,0.7789473684210527,0.7881549566391441
41,0.8242197642415744,0.8242197642415744,0.5144882380433089,0.9223658929220542,0.8736842105263158,0.8359557563483409
42,0.891416108428104,0.891416108428104,-0.6236693150542659,0.9494729189385677,0.9263157894736842,0.9459936646414289
43,0.9230150075297294,0.9230150075297294,-0.44012566858804586,0.9759567949317131,0.9263157894736842,0.9465389209118761
44,0.9181596302643195,0.9181596302643195,0.5930570701563067,0.9714389572622942,0.9473684210526316,0.9480448668016825
45,0.930752453653217,0.930752453653217,0.5318585449446954,0.9788907929584046,0.9157894736842106,0.9038012151425455
46,0.955626525419328,0.955626525419328,-0.40580048813418496,0.9814353222204911,0.8947368421052632,0.9201329386716518
47,0.8709300514098769,0.8709300514098769,-0.020875525782832215,0.9599366464142908,0.8947368421052632,0.846782988004362
48,0.7663966349898738,0.7663966349898738,0.5741548527808069,0.9211195928753181,0.7473684210526316,0.7787038479513942
49,0.9715687801838292,0.9715687801838292,-0.7819234564054629,0.9919509788648283,0.9894736842105263,0.9382821831022484
50,0.8681518408890273,0.8681518408890273,0.4168354364646622,0.97598275951602,0.9473684210526316,0.9081892298904294
51,0.8884561458171054,0.8884561458171054,0.3163524951965519,0.9766578387080022,0.8315789473684211,0.856779352962559
52,0.9322064703744093,0.9322064703744093,-0.4835124889650516,0.9816690034792542,0.9157894736842106,0.8826920081009502
53,0.9499662460404007,0.9499662460404007,0.3303733707223347,0.9793581554759307,0.9789473684210527,0.9398660227449757
54,0.8658669574700109,0.8658669574700109,0.643739938723581,0.9670769070987174,0.6736842105263158,0.7713558705925118
55,0.7766007166225268,0.7766007166225268,-0.3007997091966557,0.9523030586280312,0.3263157894736842,0.4718024614425923
56,0.8523394090460611,0.8523394090460611,0.0173183777327725,0.9670769070987174,0.8526315789473685,0.8726696785584462
57,0.8725917848055251,0.8725917848055251,0.013060185906423638,0.9582749130186425,0.8631578947368421,0.8996468816534247
58,0.9341797787817416,0.9341797787817416,-0.6208132107804953,0.9740613802773018,0.8105263157894737,0.9228851846081945
59,0.8568312821311731,0.8568312821311731,-0.07462221529833307,0.9416835436464661,0.6736842105263158,0.8362413667757179
60,0.8052656176974606,0.8052656176974606,0.5472295788544425,0.9626369631822194,0.6526315789473685,0.7555434387495455
61,0.9349327517266449,0.9349327517266449,-0.16856208132107803,0.9816170743106402,0.9052631578947369,0.946123487562964
62,0.9395025185646778,0.9395025185646778,0.16967855844627924,0.9821623305810874,0.9263157894736842,0.9007373941943189
63,0.9092018486784026,0.9092018486784026,0.14189645323778366,0.9634937944643506,0.7999999999999999,0.9007114296100118
64,0.8341382354468504,0.8341382354468504,-0.6254089422028353,0.9590278859635457,0.9157894736842106,0.8954925481643038
65,0.8120943033702029,0.8120943033702029,-0.13332814041647192,0.9368281663810561,0.7789473684210527,0.6235914213013449
66,0.9565352858700732,0.9565352858700732,0.07093524432673831,0.9805525263540529,0.968421052631579,0.9090720257568676
67,0.9205483720205639,0.9205483720205639,0.4366204497066002,0.9736199823440826,0.8421052631578948,0.8929220543179103
68,0.9023731630056603,0.9023731630056603,0.3330736874902632,0.980085163836527,0.8736842105263158,0.8588565197071194
69,0.9245988471724567,0.9245988471724567,-0.5730383756556057,0.9819546139066313,0.7999999999999999,0.9078516902944382
70,0.9263125097367191,0.9263125097367191,0.5088539232486887,0.9723477177130394,0.7157894736842105,0.7778989458378771
71,0.9540686503609077,0.9540686503609077,0.40364542763670347,0.9795658721503867,0.9578947368421054,0.9432673832891934
72,0.8725138910526042,0.8725138910526042,0.3389157189593394,0.9735420885911615,0.49473684210526314,0.7361478942722126
73,0.9496287064444098,0.9496287064444098,0.4056966297969569,0.9854338682037701,0.9368421052631579,0.9420730124110712
74,0.8026951238510671,0.8026951238510671,-0.37918678921950455,0.9696474009451108,0.768421052631579,0.8856519707119488
75,0.8601547489224697,0.8601547489224697,0.14267539076699381,0.975671184504336,0.8210526315789474,0.9248844575998337
76,0.9277405618736044,0.9277405618736044,0.21522043932076645,0.9870436724308043,0.8631578947368421,0.9465389209118761
77,0.9243132367450796,0.9243132367450796,0.5910837617489744,0.9767097678766162,0.8210526315789474,0.8799137975801007
78,0.9284156410655864,0.9284156410655864,0.48192864932232427,0.9776704574959755,0.8842105263157894,0.9205224074362568
79,0.8746949161343927,0.8746949161343927,-0.10671444150179156,0.9742950615360647,0.6526315789473685,0.9083709819805784
80,0.8486784026587734,0.8486784026587734,0.2496494781118554,0.9512644752557511,0.7263157894736842,0.7689151996676533
81,0.8970244586384171,0.8970244586384171,0.3802253725917848,0.9769174845510723,0.8421052631578948,0.9092537778470166
82,0.9485901230721295,0.9485901230721295,-0.020382198680999115,0.9836942410552006,0.7999999999999999,0.871475307680324
83,0.8626733136002492,0.8626733136002492,0.42831178272835846,0.9816949680635612,0.9263157894736842,0.9252479617801319
84,0.9443838604143947,0.9443838604143947,-0.5753232590746222,0.9863426286545152,0.9263157894736842,0.851690294438386
85,0.8871838811860622,0.8871838811860622,-0.0832164927039518,0.9622994235862282,0.8947368421052632,0.7932180505790102
86,0.9041906839071506,0.9041906839071506,0.09233006179571064,0.9616762735628602,0.9368421052631579,0.9196136469855117
87,0.9249623513527548,0.9249623513527548,0.7237627875577711,0.986082982811445,0.9052631578947369,0.8338006958508594
88,0.8110816845822297,0.8110816845822297,0.6661214103962195,0.9535493586747675,0.5157894736842106,0.881809212234512
89,0.9294282598535597,0.9294282598535597,-0.25780235758425507,0.9693617905177337,0.9368421052631579,0.8937529210157344
90,0.9419951186581501,0.9419951186581501,0.524822142597497,0.9835644181336656,0.9263157894736842,0.9293503661006386
91,0.8782780287687593,0.8782780287687593,0.6955652490003634,0.9670509425144102,0.7894736842105264,0.7533104844991432
92,0.9492911668484186,0.9492911668484186,0.35031417147011473,0.9788128992054835,0.9473684210526316,0.8783818871059874
93,0.8029288051098302,0.8029288051098302,0.7408215194474735,0.9485901230721295,0.7052631578947369,0.6658617645531495
94,0.9290128265046477,0.9290128265046477,-0.525237575946409,0.9853040452822349,0.8315789473684211,0.7606324972737185
95,0.955860206678091,0.955860206678091,0.08747468453030068,0.9882380433089266,0.9578947368421054,0.9425663395129042
96,0.7396531131536583,0.7396531131536583,0.22898166900347924,0.9482785480604454,0.28421052631578947,0.4839538868982707
97,0.8623357740042581,0.8623357740042581,0.4992989562237108,0.9743210261203717,0.8736842105263158,0.9273770576933063
98,0.92561146596043,0.92561146596043,-0.0851898011112842,0.9736459469283896,0.6736842105263158,0.9195876824012047
99,0.5500597185439061,0.5500597185439061,-0.3726437139741392,0.9289349327517266,0.35789473684210527,0.8895985875266137
100,0.9145505530456456,0.9145505530456456,0.07521940073739418,0.9729449031521005,0.8105263157894737,0.8206626161915147
